Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2.5,3.33,3,4.22,3
2.7,2.89,3.38,3.56,3.25
2.4,2.78,2.38,3,2.88
1.1,4.44,3.5,2.89,1.88
2.4,4.22,2.25,3.11,3.38
3.2,3,4,3.89,3.25
2.6,2.44,4.38,2.67,3.63
2.7,3.67,4.63,3.67,2.38
3.2,3,3.38,3.56,2.63
3.1,4.33,3.38,4.22,3.25
3.7,3.56,4.38,4.78,2.13
2.9,3,2.63,3.89,3.25
3,3.89,4.13,4.11,3.38
1.3,3.56,2.13,3.67,3
1.9,2.56,3.5,3,3.13
2.6,3.22,2.38,3.22,1.63
3.2,3.22,3.63,4.11,1.88
2.3,4,3.13,3.89,2.5
2.4,2.22,3,3.56,1.88
3.3,4.22,4.38,3.89,2.88
1.7,3.44,2.88,3.22,3.25
2.9,2.89,3,4.44,3.13
2.5,3.56,3.25,3.22,3.38
2.6,3,2.38,3.33,3.75
3,4.22,3.25,3.22,3.63
3.8,4,2.5,2.22,1.5
2.7,3.11,2.88,3.56,2.88
3.9,2.44,2.63,3.89,4
3.5,2.78,4,2.78,1.88
2.1,2.56,3.5,3.22,2.63
2.9,3.44,4.13,4,2
3.2,2.56,3,2.67,3.25
3.2,3.11,2.63,3,3.13
3.3,3,3.38,4,3.38
2.9,2.67,2.63,3.11,2.13
2.5,3.56,3.75,4.22,3.25
1.5,3.89,2,4,3.63
3.3,2,3.5,3.33,3.75
3,2.33,2.38,3.22,2.38
3,3.33,2.63,3.11,4.13
3.9,4.56,3.5,4.11,2.75
2.8,3.33,3.88,3,2.13
2.4,3.89,3.5,3.89,2.5
2.4,2.56,3.5,3.44,2.63
3,2.56,3.75,3.11,3.13
3,3,3.88,4.11,1
3,2.33,3.63,3.56,3.13
2.6,3.44,4.13,3.78,2.5
2.9,4.33,3.88,4,2.5
2.3,3.11,3,2.89,3.5
3.5,3.78,4,3.33,2.5
3.6,2.89,4.38,3.33,2
3,3.22,3.5,3.78,3.13
1.9,3.11,2.75,4.22,3.13
2.8,3.44,3.88,4.11,2
3.7,4.11,4.13,3.33,2.13
3.4,2.78,2.63,3.67,3.75
2.2,3.67,2.75,3.33,2.75
2.6,2.78,2.5,3.44,3.5
2.8,3.22,3.13,3,2.75
2.6,4.11,2.5,4,3.25
3.1,3.78,3.25,3.67,2.13
2.9,4.56,2.38,3.78,1.88
2.7,3.33,2.75,4.33,3.13
3.9,3.44,3.5,3.89,3.25
2.4,2.78,2.13,3.78,2.63
2.8,2.44,4,3.11,2.13
3,2.67,2.75,4,2.38
3.1,3,3,3.56,3.13
3.8,4,3.75,4.44,3.38
3,2.89,4.13,3.33,2.63
3.4,2.89,4.25,3.56,2.38
3.3,3.22,3.13,4.11,3.13
3,3.22,3.75,3.56,2.63
3,2.33,3,3.89,3.38
3.2,2.89,3.88,4.11,3.25
3.3,3,3.88,2.89,2.38
3.4,4.11,3.5,3.56,3
1.8,2.22,3.5,2.56,2.38
2,2.44,2.88,2.89,3.88
2.5,3.44,3.63,3.67,2.63
3.2,2.89,3.25,2.89,2.88
2.7,2.56,2.75,4.11,2.13
2.7,4.11,4.13,2.56,1.5
2.9,2.22,3.25,3.22,2.38
3.7,1.56,4.63,2,3.38
3.4,2.67,2.5,4.44,3.38
2.3,2.89,4.13,3.44,2.5
2.2,3.56,2,3,2.63
3.3,3.11,2,4,2.63
2.4,2.67,2.5,3.33,2.63
2.7,3.22,2.63,3.22,2.25
2.4,2.78,2.75,2.89,3
2.7,2.89,3.88,3.22,2.75
1.6,2.33,2.13,3.44,2
2.4,2.22,2.25,3.11,2.25
3.4,3.33,3.88,4.22,1.88
3.3,3.56,4.13,3.11,3.88
3.6,2.56,1.88,3,4
3.1,2.33,1.5,3.78,2.5
2.8,4.44,3.5,3.22,3.5
3.3,3.22,3.25,4.11,2.38
3.3,2.67,3,3.33,3.63
2.5,2.33,3.88,3.78,3.25
3.1,2.78,3.13,3.22,2.63
3.3,3.22,3.38,3.78,2.38
2.2,2.78,3.38,3.44,2.88
2.8,3.44,3.38,2.78,2.25
2.3,2.67,4,3.67,1.38
3.6,3.33,3.25,2.78,2.88
3.4,2.67,4.25,2.78,2.88
2.3,2.33,3.63,3.11,2.88
2.1,2.78,3.5,3.11,2.88
2.8,2.56,4.5,3.44,3.25
2.1,2.44,2.88,2.89,3.5
2.4,3,4.25,3,1.75
3,2.67,2.88,3.56,3.63
2.3,2.78,3.88,3.89,2.38
2.4,2.67,4.13,3.22,3
3.4,3,3.5,3.44,3.13
