Achiever,Disruptor,Free.Spirit,Philanthropist,Player,Socialiser
25,12,18,7,28,27
25,14,26,25,19,25
22,13,24,25,16,20
24,18,23,24,18,27
21,20,23,22,16,17
28,24,28,28,28,28
28,15,25,25,20,26
17,9,21,25,17,26
23,20,21,24,22,21
24,25,25,21,25,22
22,20,23,22,23,25
22,16,25,23,12,23
20,14,22,22,22,22
24,17,23,23,16,21
20,18,23,23,24,24
23,14,25,25,23,27
21,27,26,20,18,28
21,17,22,24,23,24
18,28,24,20,19,17
20,15,19,21,17,21
22,17,22,21,23,24
22,15,22,26,22,26
20,22,24,21,26,24
22,18,23,23,23,25
18,13,20,21,16,23
26,22,27,26,21,25
24,19,24,23,21,24
24,25,24,24,28,24
24,17,25,26,26,25
22,15,22,26,23,24
22,16,20,25,18,25
20,20,22,21,13,21
22,13,17,20,20,24
21,17,27,25,19,25
19,15,26,19,21,15
16,10,17,18,22,17
20,16,19,20,21,22
22,15,27,19,14,15
22,19,20,22,28,27
23,21,20,18,17,17
23,21,24,24,24,24
20,22,22,21,22,23
21,13,20,21,18,16
21,20,22,21,21,20
21,14,19,25,14,24
17,18,24,22,25,26
23,25,26,22,27,23
23,25,25,20,27,26
22,21,26,18,18,24
19,23,26,19,23,21
24,25,26,25,21,26
25,15,25,23,24,28
26,16,23,23,19,15
20,20,27,18,10,18
21,19,26,27,18,28
27,9,23,25,17,26
21,18,21,22,17,24
25,17,23,18,18,21
22,11,20,24,21,25
25,15,25,22,26,24
18,20,23,27,17,21
26,19,22,23,18,26
18,22,24,24,17,21
22,13,24,19,13,23
18,17,22,19,18,24
21,12,21,21,21,23
14,23,22,19,24,23
15,22,22,21,21,15
15,16,22,17,22,19
20,16,19,21,19,19
25,20,28,25,27,27
21,12,21,23,19,19
20,11,23,21,20,25
24,23,24,24,25,27
19,24,23,21,24,24
17,14,21,22,20,26
16,19,23,22,18,21
19,21,23,21,20,27
20,11,23,24,25,25
15,25,25,20,28,21
20,17,25,28,19,21
16,17,18,20,21,20
19,22,26,23,19,22
16,15,20,18,19,21
24,26,20,27,27,26
17,20,22,23,24,22
26,26,27,26,27,27
25,19,26,23,18,22
24,20,26,23,13,20
21,18,25,23,15,24
24,18,28,25,20,23
25,22,19,24,24,21
18,16,21,16,23,19
13,16,22,17,20,22
19,12,23,26,20,27
27,13,24,24,19,24
20,15,14,22,22,22
18,18,22,21,24,22
18,13,20,20,22,23
23,14,25,21,22,23
20,12,22,23,21,22
28,7,27,25,28,23
18,12,17,20,21,17
17,8,17,21,12,20
22,12,19,22,18,22
24,19,23,24,20,25
21,15,19,12,18,6
19,17,18,18,21,17
22,14,26,21,27,21
27,18,28,27,25,26
23,8,23,18,14,18
21,13,20,19,20,20
22,17,21,23,22,16
24,14,26,27,22,26
18,13,20,21,22,21
21,13,24,20,22,20
18,16,20,23,20,19
19,7,23,26,17,24
23,12,22,21,24,27
14,25,26,21,27,24
18,20,21,25,14,15
25,16,28,28,28,28
15,25,20,18,22,22
21,10,19,19,19,22
18,15,23,24,22,23
24,12,25,16,22,13
22,16,22,21,16,17
25,15,24,24,16,24
20,21,25,26,23,25
17,10,18,20,18,14
21,21,20,18,25,23
18,13,22,19,21,24
19,17,22,23,24,21
23,16,25,26,20,24
20,14,22,24,19,24
16,9,15,23,16,12
18,18,23,19,16,18
26,17,20,25,24,22
21,19,20,22,21,20
23,22,26,26,21,24
25,18,28,28,23,26
9,26,28,26,28,25
24,28,26,26,26,25
24,20,26,18,19,14
26,25,28,27,20,28
24,19,26,22,27,16
22,16,21,23,22,23
20,18,23,20,25,18
15,16,18,19,19,20
23,22,24,23,20,22
15,11,20,25,9,19
22,16,23,21,25,18
20,16,24,26,19,25
20,12,20,23,22,22
18,13,16,19,15,23
18,18,20,14,15,15
27,21,27,27,21,22
22,12,26,26,22,25
20,15,18,19,23,22
19,20,24,21,20,20
25,14,25,23,24,22
18,15,20,21,22,22
20,17,20,23,20,24
14,21,21,21,20,22
21,17,24,23,15,23
20,17,22,20,16,18
17,15,19,17,18,18
21,18,22,21,20,20
20,13,24,24,20,19
20,15,24,24,7,15
23,19,24,23,23,25
25,15,21,21,22,18
19,15,25,21,27,18
25,18,25,18,18,22
23,15,25,22,23,25
22,10,19,21,18,19
20,19,22,20,20,17
20,15,26,25,20,23
14,9,20,23,15,19
16,10,22,22,16,18
22,25,24,17,20,20
17,15,22,20,24,19
18,16,28,22,23,23
27,18,24,23,21,25
18,20,25,23,16,24
18,14,22,20,20,19
19,13,20,20,15,20
26,22,22,21,19,21
19,11,17,15,19,16
25,17,25,24,24,24
26,21,23,26,22,25
27,20,28,22,23,23
20,16,13,21,21,19
20,16,25,27,26,24
21,17,25,22,24,23
22,16,22,20,27,22
28,16,24,24,23,24
21,12,24,25,14,23
