Uid,Gender,Age,Year,Like.maths.general,Motivation.maths.exercises,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Achiever,Disruptor,Free.Spirit,Philanthropist,Player,Socialiser,Weekly.hours
481,V,15,4de middelbaar,6,6,2.5,3.33,3,4.22,3,22,12,24,23,17,26,5
483,V,15,4de middelbaar,5,5,2.7,2.89,3.38,3.56,3.25,22,20,23,22,23,25,5
484,V,17,3de middelbaar,4,4,2.4,2.78,2.38,3,2.88,18,18,22,21,24,22,5
485,V,14,3de middelbaar,6,5,1.1,4.44,3.5,2.89,1.88,25,12,18,7,28,27,5
489,V,15,4de middelbaar,6,5,2.4,4.22,2.25,3.11,3.38,26,11,21,25,25,25,5
490,V,15,4de middelbaar,6,5,3.2,3,4,3.89,3.25,21,19,26,27,18,28,5
491,V,15,4de middelbaar,7,5,2.6,2.44,4.38,2.67,3.63,24,25,26,25,21,26,5
492,V,15,4de middelbaar,4,4,2.7,3.67,4.63,3.67,2.38,26,18,26,27,21,27,5
493,V,15,4de middelbaar,5,5,3.2,3,3.38,3.56,2.63,24,19,24,25,20,27,5
494,M,15,4de middelbaar,7,6,3.1,4.33,3.38,4.22,3.25,25,15,23,26,15,27,5
495,V,15,4de middelbaar,6,4,3,3.78,3.13,3.78,2.88,27,13,24,24,19,24,5
496,V,16,4de middelbaar,6,6,3.7,3.56,4.38,4.78,2.13,27,9,23,25,17,26,5
497,V,15,4de middelbaar,6,6,2.9,3,2.63,3.89,3.25,28,11,24,28,25,27,5
498,V,15,4de middelbaar,6,5,3,3.89,4.13,4.11,3.38,28,15,25,25,20,26,5
499,M,17,4de middelbaar,6,5,3,4.33,2.75,3.44,2.5,25,14,26,25,19,25,5
501,V,15,4de middelbaar,6,5,1.3,3.56,2.13,3.67,3,22,13,24,19,13,23,4
502,M,15,4de middelbaar,2,5,1.9,2.56,3.5,3,3.13,13,16,22,17,20,22,4
503,M,15,4de middelbaar,5,3,2.6,3.22,2.38,3.22,1.63,16,20,21,19,18,14,5
504,V,16,4de middelbaar,4,4,3.2,3.22,3.63,4.11,1.88,20,11,23,21,20,25,4
505,M,14,3de middelbaar,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
507,V,16,4de middelbaar,5,5,2.3,4,3.13,3.89,2.5,22,11,20,24,21,25,5
508,M,15,4de middelbaar,5,5,2.4,2.22,3,3.56,1.88,16,15,20,18,19,21,5
509,V,15,4de middelbaar,6,5,3.3,4.22,4.38,3.89,2.88,21,11,24,23,13,25,5
510,V,15,4de middelbaar,5,4,1.7,3.44,2.88,3.22,3.25,22,13,24,25,16,20,5
511,V,15,4de middelbaar,4,3,2.9,2.89,3,4.44,3.13,19,10,20,25,21,25,5
512,V,15,4de middelbaar,6,5,2.5,3.56,3.25,3.22,3.38,26,13,21,19,18,21,5
513,M,15,4de middelbaar,7,6,2.6,3,2.38,3.33,3.75,25,16,23,22,24,19,5
514,V,15,4de middelbaar,4,4,3,4.22,3.25,3.22,3.63,19,13,21,19,16,25,5
515,V,15,4de middelbaar,4,5,3.8,4,2.5,2.22,1.5,24,20,26,18,19,14,5
516,V,14,4de middelbaar,6,5,3.2,3.33,3.88,3.44,2.88,25,25,26,25,15,22,5
517,M,14,3de middelbaar,5,4,2.7,3.11,2.88,3.56,2.88,18,12,17,20,21,17,5
518,M,15,4de middelbaar,5,2,3.9,2.44,2.63,3.89,4,20,17,25,28,19,21,5
519,M,15,4de middelbaar,4,3,3.5,2.78,4,2.78,1.88,25,20,28,25,27,27,4
520,M,16,4de middelbaar,3,3,2.1,2.56,3.5,3.22,2.63,15,16,22,17,22,19,4
521,V,15,4de middelbaar,6,6,2.9,3.44,4.13,4,2,24,18,23,24,18,27,5
522,V,16,4de middelbaar,4,3,3.2,2.56,3,2.67,3.25,20,20,27,18,10,18,5
523,V,15,4de middelbaar,6,5,3.2,3.11,2.63,3,3.13,23,20,21,24,22,21,5
524,V,15,4de middelbaar,6,5,3.3,3,3.38,4,3.38,19,12,23,26,20,27,5
525,M,15,4de middelbaar,4,4,2.9,2.67,2.63,3.11,2.13,21,20,23,22,16,17,5
526,V,15,4de middelbaar,5,4,2.5,3.56,3.75,4.22,3.25,22,16,25,23,12,23,5
