nid,sid,no,data
15,13,1,3
15,13,10,4
15,13,11,3
15,13,12,1
15,13,13,4
15,13,14,3
15,13,15,4
15,13,16,2
15,13,17,1
15,13,18,0
15,13,19,3
15,13,2,4
15,13,20,3
15,13,21,1
15,13,22,1
15,13,23,1
15,13,24,3
15,13,25,3
15,13,26,4
15,13,27,4
15,13,28,4
15,13,29,3
15,13,3,4
15,13,30,4
15,13,31,0
15,13,32,3
15,13,33,4
15,13,34,2
15,13,35,0
15,13,36,2
15,13,37,3
15,13,38,3
15,13,39,2
15,13,4,3
15,13,40,4
15,13,41,0
15,13,42,1
15,13,43,1
15,13,44,4
15,13,5,3
15,13,6,1
15,13,7,2
15,13,8,1
15,13,9,2
15,22,1,3
15,22,10,3
15,22,11,3
15,22,12,2
15,22,13,3
15,22,14,2
15,22,15,4
15,22,16,4
15,22,17,3
15,22,18,1
15,22,19,2
15,22,2,2
15,22,20,2
15,22,21,2
15,22,22,3
15,22,23,1
15,22,24,2
15,22,25,1
15,22,26,2
15,22,27,3
15,22,28,1
15,22,29,4
15,22,3,3
15,22,30,3
15,22,31,2
15,22,32,1
15,22,33,2
15,22,34,2
15,22,35,2
15,22,36,2
15,22,37,3
15,22,38,2
15,22,39,2
15,22,4,3
15,22,40,3
15,22,41,4
15,22,42,3
15,22,43,2
15,22,44,3
15,22,45,2
15,22,5,3
15,22,6,2
15,22,7,3
15,22,8,1
15,22,9,3
15,24,1,3
15,24,10,3
15,24,11,3
15,24,12,0
15,24,13,3
15,24,14,2
15,24,15,3
15,24,16,3
15,24,17,3
15,24,18,1
15,24,19,1
15,24,2,2
15,24,20,3
15,24,21,3
15,24,22,3
15,24,23,1
15,24,24,2
15,24,25,4
15,24,26,2
15,24,27,3
15,24,28,2
15,24,29,3
15,24,3,3
15,24,30,1
15,24,31,2
15,24,32,2
15,24,33,4
15,24,34,2
15,24,35,3
15,24,36,3
15,24,37,3
15,24,38,1
15,24,39,2
15,24,4,1
15,24,40,2
15,24,41,2
15,24,42,1
15,24,43,3
15,24,44,1
15,24,45,3
15,24,5,3
15,24,6,1
15,24,7,4
15,24,8,3
15,24,9,2
15,26,1,4
15,26,10,2
15,26,11,4
15,26,12,1
15,26,13,4
15,26,14,0
15,26,15,2
15,26,16,4
15,26,17,3
15,26,18,3
15,26,19,3
15,26,2,2
15,26,20,4
15,26,21,0
15,26,22,3
15,26,23,1
15,26,24,2
15,26,25,2
15,26,26,2
15,26,27,3
15,26,28,0
15,26,29,3
15,26,3,2
15,26,30,3
15,26,31,3
15,26,32,0
15,26,33,3
15,26,34,2
15,26,35,1
15,26,36,3
15,26,37,4
15,26,38,1
15,26,39,1
15,26,4,0
15,26,40,0
15,26,41,1
15,26,42,0
15,26,43,3
15,26,44,4
15,26,45,4
15,26,5,3
15,26,6,0
15,26,7,3
15,26,8,3
15,26,9,2
15,29,1,2
15,29,10,2
15,29,11,1
15,29,12,3
15,29,13,3
15,29,14,2
15,29,15,2
15,29,16,1
15,29,17,2
15,29,18,3
15,29,19,3
15,29,2,3
15,29,20,0
15,29,21,2
15,29,22,3
15,29,23,1
15,29,24,2
15,29,25,3
15,29,26,2
15,29,27,3
15,29,28,3
15,29,29,3
15,29,3,3
15,29,30,3
15,29,31,2
15,29,32,2
15,29,33,3
15,29,34,2
15,29,35,2
15,29,36,3
15,29,37,2
15,29,38,1
15,29,39,3
15,29,4,1
15,29,40,3
15,29,41,3
15,29,42,3
15,29,43,1
15,29,44,2
15,29,45,4
15,29,5,2
15,29,6,2
15,29,7,3
15,29,8,3
15,29,9,1
15,31,1,1
15,31,10,2
15,31,11,2
15,31,12,1
15,31,13,3
15,31,14,3
15,31,15,3
15,31,16,2
15,31,17,3
15,31,18,1
15,31,19,3
15,31,2,1
15,31,20,3
15,31,21,4
15,31,22,4
15,31,23,1
15,31,24,1
15,31,25,3
15,31,26,2
15,31,27,2
15,31,28,2
15,31,29,3
15,31,3,3
15,31,30,3
15,31,31,3
15,31,32,3
15,31,33,3
15,31,34,3
15,31,35,3
15,31,36,3
15,31,37,2
15,31,38,1
15,31,39,3
15,31,4,2
15,31,40,2
15,31,41,2
15,31,42,1
15,31,43,2
15,31,44,1
15,31,45,3
15,31,5,1
15,31,6,3
15,31,7,3
15,31,8,1
15,31,9,2
15,33,1,4
15,33,10,4
15,33,11,4
15,33,12,0
15,33,13,4
15,33,14,2
15,33,15,3
15,33,16,4
15,33,17,3
15,33,18,3
15,33,19,3
15,33,2,2
15,33,20,4
15,33,21,2
15,33,22,4
15,33,23,1
15,33,24,1
15,33,25,3
15,33,26,3
15,33,27,4
15,33,28,3
15,33,29,4
15,33,3,4
15,33,30,2
15,33,31,1
15,33,32,1
15,33,33,3
15,33,34,3
15,33,35,1
15,33,36,0
15,33,37,3
15,33,38,2
15,33,39,4
15,33,4,1
15,33,40,2
15,33,41,4
15,33,42,3
15,33,43,4
15,33,44,3
15,33,45,1
15,33,5,3
15,33,6,2
15,33,7,3
15,33,8,3
15,33,9,3
15,35,1,3
15,35,10,3
15,35,11,3
15,35,12,0
15,35,13,2
15,35,14,3
15,35,15,3
15,35,16,3
15,35,17,4
15,35,18,2
15,35,19,3
15,35,2,1
15,35,20,2
15,35,21,2
15,35,22,3
15,35,23,1
15,35,24,2
15,35,25,2
15,35,26,2
15,35,27,3
15,35,28,1
15,35,29,3
15,35,3,3
15,35,30,3
15,35,31,3
15,35,32,4
15,35,33,3
15,35,34,2
15,35,35,3
15,35,36,1
15,35,37,3
15,35,38,1
15,35,39,4
15,35,4,2
15,35,40,2
15,35,41,2
15,35,42,2
15,35,43,4
15,35,44,2
15,35,45,0
15,35,5,1
15,35,6,3
15,35,7,3
15,35,8,2
15,35,9,2
15,37,1,3
15,37,10,3
15,37,11,3
15,37,12,1
15,37,13,3
15,37,14,3
15,37,15,3
15,37,16,3
15,37,17,3
15,37,18,3
15,37,19,3
15,37,2,3
15,37,20,3
15,37,21,1
15,37,22,2
15,37,23,1
15,37,24,1
15,37,25,2
15,37,26,3
15,37,27,3
15,37,28,1
15,37,29,3
15,37,3,3
15,37,30,3
15,37,31,3
15,37,32,1
15,37,33,3
15,37,34,3
15,37,35,3
15,37,36,1
15,37,37,3
15,37,38,1
15,37,39,3
15,37,4,2
15,37,40,3
15,37,41,3
15,37,42,1
15,37,43,3
15,37,44,3
15,37,45,2
15,37,5,3
15,37,6,1
15,37,7,3
15,37,8,2
15,37,9,1
15,39,1,2
15,39,10,4
15,39,11,4
15,39,12,1
15,39,13,2
15,39,14,4
15,39,15,2
15,39,16,2
15,39,17,2
15,39,18,0
15,39,19,4
15,39,2,2
15,39,20,2
15,39,21,2
15,39,22,4
15,39,23,1
15,39,24,3
15,39,25,2
15,39,26,2
15,39,27,3
15,39,28,1
15,39,29,2
15,39,3,2
15,39,30,3
15,39,31,3
15,39,32,2
15,39,33,3
15,39,34,2
15,39,35,2
15,39,36,3
15,39,37,4
15,39,38,3
15,39,39,2
15,39,4,0
15,39,40,2
15,39,41,2
15,39,42,2
15,39,43,4
15,39,44,3
15,39,45,1
15,39,5,4
15,39,6,2
15,39,7,2
15,39,8,2
15,39,9,1
15,41,1,2
15,41,10,3
15,41,11,1
15,41,12,2
15,41,13,2
15,41,14,2
15,41,15,2
15,41,16,2
15,41,17,2
15,41,18,2
15,41,19,1
15,41,2,2
15,41,20,2
15,41,21,2
15,41,22,3
15,41,23,1
15,41,24,3
15,41,25,1
15,41,26,2
15,41,27,1
15,41,28,2
15,41,29,2
15,41,3,3
15,41,30,2
15,41,31,2
15,41,32,3
15,41,33,2
15,41,34,2
15,41,35,1
15,41,36,1
15,41,37,2
15,41,38,2
15,41,39,2
15,41,4,1
15,41,40,3
15,41,41,2
15,41,42,3
15,41,43,2
15,41,44,3
15,41,45,2
15,41,5,1
15,41,6,2
15,41,7,2
15,41,8,2
15,41,9,2
15,43,1,2
15,43,10,3
15,43,11,4
15,43,12,0
15,43,13,3
15,43,14,1
15,43,15,0
15,43,16,3
15,43,17,0
15,43,18,1
15,43,19,0
15,43,2,4
15,43,20,0
15,43,21,0
15,43,22,2
15,43,23,1
15,43,24,0
15,43,25,2
15,43,26,2
15,43,27,3
15,43,28,0
15,43,29,4
15,43,3,4
15,43,30,4
15,43,31,0
15,43,32,4
15,43,33,3
15,43,34,4
15,43,35,2
15,43,36,4
15,43,37,3
15,43,38,4
15,43,39,4
15,43,4,0
15,43,40,0
15,43,41,0
15,43,42,4
15,43,43,2
15,43,44,2
15,43,45,0
15,43,5,2
15,43,6,1
15,43,7,3
15,43,8,0
15,43,9,4
15,45,1,2
15,45,10,4
15,45,11,2
15,45,12,2
15,45,13,3
15,45,14,3
15,45,15,3
15,45,16,1
15,45,17,2
15,45,18,0
15,45,19,3
15,45,2,3
15,45,20,1
